slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta
henry-de-batz-de-trenquelleon,Henry de Batz de Trenquelleon,Feugarolles,Legumbres y cereales,,"Lieu-Dit Salles, 47230 Feugarolles",,,,,https://www.chateau-salles-buzet.fr,,,,44.213400,0.362300,,pendiente,no comprobado,
domaine-le-gabach,Domaine le Gabach,Lafitte-sur-Lot,Carne,,"Lieu Dit le Gabach, 47320 Lafitte-sur-Lot",,,,,https://www.musee-du-pruneau.com/,,,,44.357900,0.431400,,pendiente,no comprobado,
eplefpa-du-lot-et-garonne,EPLEFPA du Lot et Garonne,Sainte-Livrade-sur-Lot,Fruta y verdura,,"Agrocampus 47 - Route de Casseneuil, 47110 Sainte-Livrade-sur-Lot",,,,,https://www.agrocampus47.fr,,,,44.418322,0.604939,,pendiente,no comprobado,
