slug,nombre,municipio,categoria,productos estrella,direccion,descripcion,horario,telefono,correo,web,Facebook,Instagram,Google Maps,lat,lon,imagen,verificacion,Venta online,Canal de venta,categorias adicionales,producer_id,descripcion_locale
bhagat-halwai,Bhagat Halwai,Agra,Dulces y repostería,,,Bhagat Halwai makes traditional sweets and confectionery in Agra.,,,,https://bhagathalwai.com/,,,,27.18000,78.02000,,parcial,sí,ecommerce,,22,en
ram-asrey,Ram Asrey,Lucknow,Dulces y repostería,,,Ram Asrey makes traditional sweets and confectionery in Lucknow.,,+919152240770,,https://ramasreysweets.com/,,,,26.84700,80.94700,,parcial,no,,,132,en
